customer_id,first_name,last_name,email,phone,state,segment,date_of_birth,created_date,is_active
CUST0001,Mary,Smith,customer1@email.com,555-5506,FL,PREMIUM,1966-04-05,2020-07-28,True
CUST0002,Barbara,Miller,customer2@email.com,555-1520,NY,RETAIL,1969-10-22,2021-04-21,True
CUST0003,William,Brown,customer3@email.com,555-9928,OH,PREMIUM,1980-02-24,2021-07-23,True
CUST0004,John,Miller,customer4@email.com,555-6574,IL,PREMIUM,1969-08-28,2021-11-20,True
CUST0005,Mary,Miller,customer5@email.com,555-2584,PA,PRIVATE,1987-01-30,2021-06-25,True
CUST0006,Linda,Wilson,customer6@email.com,555-3045,OH,RETAIL,1984-10-05,2021-08-23,True
CUST0007,Barbara,Brown,customer7@email.com,555-2139,NY,PREMIUM,1994-09-04,2021-08-15,True
CUST0008,Patricia,Johnson,customer8@email.com,555-7227,IL,SMALL_BUSINESS,1988-07-07,2022-01-17,True
CUST0009,Jennifer,Garcia,customer9@email.com,555-4432,IL,RETAIL,1987-04-29,2020-12-16,True
CUST0010,John,Davis,customer10@email.com,555-7216,IL,PREMIUM,1990-09-16,2021-10-26,True
CUST0011,Patricia,Smith,customer11@email.com,555-6168,OH,PRIVATE,1962-12-20,2021-03-08,True
CUST0012,Patricia,Davis,customer12@email.com,555-7482,GA,PREMIUM,1971-11-18,2020-10-12,True
CUST0013,William,Wilson,customer13@email.com,555-5304,MI,SMALL_BUSINESS,1986-03-05,2022-03-28,True
CUST0014,Patricia,Williams,customer14@email.com,555-9348,GA,RETAIL,1993-11-25,2020-04-06,True
CUST0015,John,Williams,customer15@email.com,555-7916,MI,RETAIL,1977-04-05,2022-02-20,False
CUST0016,William,Jones,customer16@email.com,555-1188,CA,PRIVATE,1994-06-23,2021-11-27,True
CUST0017,Robert,Miller,customer17@email.com,555-3591,GA,RETAIL,1992-05-22,2021-06-23,True
CUST0018,William,Johnson,customer18@email.com,555-5889,NC,PREMIUM,1966-11-09,2022-02-04,True
CUST0019,William,Wilson,customer19@email.com,555-1009,MI,PRIVATE,1981-12-01,2020-02-09,True
CUST0020,Jennifer,Jones,customer20@email.com,555-4923,NY,PREMIUM,1985-06-13,2020-06-10,True
CUST0021,Linda,Johnson,customer21@email.com,555-9727,TX,PREMIUM,1989-08-05,2022-08-31,True
CUST0022,Robert,Wilson,customer22@email.com,555-7932,FL,PREMIUM,1991-12-24,2021-09-30,False
CUST0023,Jennifer,Davis,customer23@email.com,555-9479,GA,RETAIL,1971-02-13,2021-04-05,True
CUST0024,Jennifer,Smith,customer24@email.com,555-4770,MI,PREMIUM,1960-04-27,2020-05-25,True
CUST0025,Patricia,Johnson,customer25@email.com,555-1514,PA,RETAIL,1983-01-23,2021-05-02,True
CUST0026,Linda,Brown,customer26@email.com,555-9834,TX,SMALL_BUSINESS,1970-11-25,2022-08-26,False
CUST0027,Patricia,Johnson,customer27@email.com,555-2588,OH,PRIVATE,1978-12-31,2022-04-21,False
CUST0028,James,Johnson,customer28@email.com,555-1993,OH,PRIVATE,1995-11-29,2020-08-11,True
CUST0029,Patricia,Brown,customer29@email.com,555-9786,GA,PREMIUM,1978-12-04,2021-01-10,True
CUST0030,Linda,Brown,customer30@email.com,555-2235,GA,RETAIL,1962-04-08,2020-01-31,True
CUST0031,Patricia,Williams,customer31@email.com,555-7658,GA,SMALL_BUSINESS,1969-08-03,2022-04-01,True
CUST0032,John,Miller,customer32@email.com,555-1035,OH,PRIVATE,1995-03-04,2022-07-20,True
CUST0033,Michael,Wilson,customer33@email.com,555-8973,TX,PREMIUM,1973-04-23,2021-03-21,True
CUST0034,Barbara,Wilson,customer34@email.com,555-1998,PA,RETAIL,1962-04-01,2022-09-03,True
CUST0035,James,Wilson,customer35@email.com,555-2312,TX,RETAIL,1986-09-10,2020-05-19,True
CUST0036,Michael,Johnson,customer36@email.com,555-5033,MI,RETAIL,1987-10-13,2020-06-16,False
CUST0037,Barbara,Taylor,customer37@email.com,555-9565,PA,PRIVATE,1969-02-28,2021-10-05,True
CUST0038,Robert,Miller,customer38@email.com,555-3144,IL,SMALL_BUSINESS,1974-03-08,2020-05-28,True
CUST0039,Linda,Taylor,customer39@email.com,555-2638,CA,PREMIUM,1982-09-10,2021-06-27,True
CUST0040,Jennifer,Johnson,customer40@email.com,555-5002,PA,PRIVATE,1967-01-28,2022-06-16,True
CUST0041,Barbara,Wilson,customer41@email.com,555-1128,NC,PRIVATE,1989-10-03,2020-07-31,True
CUST0042,Robert,Johnson,customer42@email.com,555-2753,NC,PREMIUM,1972-03-20,2021-07-31,True
CUST0043,Jennifer,Brown,customer43@email.com,555-5325,NC,SMALL_BUSINESS,1971-04-07,2020-04-14,True
CUST0044,Michael,Jones,customer44@email.com,555-1722,NY,PRIVATE,1994-08-04,2020-09-24,True
CUST0045,John,Davis,customer45@email.com,555-8007,NC,RETAIL,1965-01-06,2020-06-03,True
CUST0046,William,Smith,customer46@email.com,555-7049,MI,PREMIUM,1979-04-12,2020-09-18,True
CUST0047,Robert,Garcia,customer47@email.com,555-1653,PA,PREMIUM,1990-08-05,2021-05-26,True
CUST0048,Jennifer,Wilson,customer48@email.com,555-7658,MI,PREMIUM,1970-08-14,2020-11-28,True
CUST0049,Michael,Smith,customer49@email.com,555-3938,PA,SMALL_BUSINESS,1995-12-26,2021-05-23,True
CUST0050,John,Johnson,customer50@email.com,555-7267,NY,SMALL_BUSINESS,1969-12-23,2021-02-12,False
CUST0051,Jennifer,Jones,customer51@email.com,555-4728,FL,RETAIL,1989-08-09,2021-01-30,False
CUST0052,Jennifer,Jones,customer52@email.com,555-2137,IL,PRIVATE,1988-10-10,2022-11-09,False
CUST0053,William,Garcia,customer53@email.com,555-1452,CA,PRIVATE,1968-01-04,2021-06-27,True
CUST0054,Mary,Taylor,customer54@email.com,555-8119,PA,PRIVATE,1979-07-29,2022-11-13,True
CUST0055,Michael,Taylor,customer55@email.com,555-4114,IL,RETAIL,1991-10-17,2022-06-12,True
CUST0056,William,Wilson,customer56@email.com,555-4228,PA,SMALL_BUSINESS,1963-02-20,2021-11-07,True
CUST0057,Mary,Jones,customer57@email.com,555-9308,IL,SMALL_BUSINESS,1974-08-19,2022-04-04,True
CUST0058,William,Williams,customer58@email.com,555-4143,OH,SMALL_BUSINESS,1990-05-20,2020-12-22,True
CUST0059,Michael,Wilson,customer59@email.com,555-1006,IL,PRIVATE,1969-06-05,2022-05-30,True
CUST0060,Linda,Davis,customer60@email.com,555-8244,FL,SMALL_BUSINESS,1995-08-09,2020-12-13,True
CUST0061,Robert,Wilson,customer61@email.com,555-6491,CA,PREMIUM,1990-03-07,2021-09-27,True
CUST0062,Patricia,Williams,customer62@email.com,555-1400,NY,PREMIUM,1981-04-24,2020-05-29,False
CUST0063,Michael,Taylor,customer63@email.com,555-4185,OH,SMALL_BUSINESS,1977-12-04,2021-05-14,True
CUST0064,James,Johnson,customer64@email.com,555-7965,FL,PREMIUM,1991-03-20,2022-11-26,False
CUST0065,James,Wilson,customer65@email.com,555-5082,CA,SMALL_BUSINESS,1965-12-24,2022-08-09,True
CUST0066,Linda,Taylor,customer66@email.com,555-9270,OH,SMALL_BUSINESS,1967-02-20,2022-08-30,False
CUST0067,Robert,Brown,customer67@email.com,555-5543,NC,SMALL_BUSINESS,1988-02-11,2021-05-04,True
CUST0068,Linda,Johnson,customer68@email.com,555-5681,FL,PRIVATE,1975-01-24,2021-10-16,True
CUST0069,John,Williams,customer69@email.com,555-4788,OH,PREMIUM,1991-09-08,2021-03-14,True
CUST0070,Michael,Miller,customer70@email.com,555-6421,NC,SMALL_BUSINESS,1978-08-26,2020-05-07,True
CUST0071,Michael,Miller,customer71@email.com,555-1320,MI,SMALL_BUSINESS,1981-05-24,2020-01-13,True
CUST0072,Robert,Miller,customer72@email.com,555-7865,NC,PREMIUM,1981-11-25,2021-03-25,True
CUST0073,Michael,Davis,customer73@email.com,555-1475,OH,PRIVATE,1990-01-01,2022-04-08,True
CUST0074,Linda,Williams,customer74@email.com,555-9751,NY,SMALL_BUSINESS,1986-07-20,2020-02-25,True
CUST0075,Michael,Williams,customer75@email.com,555-8564,TX,RETAIL,1971-09-02,2022-02-15,True
CUST0076,Patricia,Davis,customer76@email.com,555-6355,PA,SMALL_BUSINESS,1972-06-24,2022-05-13,True
CUST0077,Mary,Davis,customer77@email.com,555-1317,NC,RETAIL,1975-09-12,2021-04-04,True
CUST0078,James,Smith,customer78@email.com,555-5051,FL,RETAIL,1987-11-14,2020-11-08,True
CUST0079,John,Davis,customer79@email.com,555-2874,MI,PREMIUM,1980-11-10,2021-06-08,True
CUST0080,John,Taylor,customer80@email.com,555-2876,TX,PRIVATE,1964-11-06,2020-02-22,True
CUST0081,Barbara,Miller,customer81@email.com,555-7498,FL,RETAIL,1986-07-23,2021-05-12,True
